297 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
300 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
332 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
356 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
360 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
396 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
420 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
424 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
449 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
556 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
581 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
585 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
609 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
645 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
649 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
673 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
705 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
708 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
712 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
736 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
780 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
804 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
808 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
833 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
897 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
960 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
3090 ... X ... 237 <- 127 <- 862 with probability 0.0026520865503698583, 5 rounds
45 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
108 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
172 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
197 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
201 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
225 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
269 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
293 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
297 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
300 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
332 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
356 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
360 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
396 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
420 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
424 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
449 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
556 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
581 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
585 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
609 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
645 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
649 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
673 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
705 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
708 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
712 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
736 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
780 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
804 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
808 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
833 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
897 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
960 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
3090 ... X ... 237 <- 191 <- 926 with probability 0.0026520865503698583, 5 rounds
45 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
108 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
172 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
197 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
201 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
225 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
269 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
293 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
297 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
300 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
332 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
356 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
360 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
396 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
420 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
424 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
449 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
556 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
581 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
585 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
609 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
645 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
649 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
673 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
705 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
708 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
712 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
736 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
780 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
804 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
808 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
833 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
897 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
960 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
3090 ... X ... 237 <- 254 <- 974 with probability 0.0026520865503698583, 5 rounds
45 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
108 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
172 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
197 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
201 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
225 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
269 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
293 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
297 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
300 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
332 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
356 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
360 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
396 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
420 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
424 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
449 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
556 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
581 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
585 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
609 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
645 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
649 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
673 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
705 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
708 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
712 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
736 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
780 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
804 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
808 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
833 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
897 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
960 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
3090 ... X ... 237 <- 247 <- 982 with probability 0.0026520865503698583, 5 rounds
45 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
108 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
172 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
197 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
201 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
225 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
269 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
293 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
297 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
300 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
332 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
356 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
360 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
396 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
420 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
424 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
449 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
556 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
581 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
585 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
609 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
645 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
649 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
673 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
705 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
708 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
712 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
736 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
780 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
804 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
808 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
833 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
897 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
960 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
3090 ... X ... 237 <- 251 <- 986 with probability 0.0026520865503698583, 5 rounds
45 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
108 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
172 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
197 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
201 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
225 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
269 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
293 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
297 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
300 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
332 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
356 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
360 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
396 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
420 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
424 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
449 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
556 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
581 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
585 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
609 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
645 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
649 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
673 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
705 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
708 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
712 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
736 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
780 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
804 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
808 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
833 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
897 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
960 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
3090 ... X ... 237 <- 223 <- 988 with probability 0.0026520865503698583, 5 rounds
195 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
209 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
300 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
579 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
593 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
643 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
657 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
705 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
706 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
720 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
1043 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
1106 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
1170 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
1217 ... X ... 3792 <- 2032 <- 1507 with probability 0.0026520865503698583, 5 rounds
