294 ... X ... 3342 <- 3342 <- 1803 <- 1593 with probability 7.033563070652695e-06, 6 rounds
294 ... X ... 3342 <- 3342 <- 3849 <- 3129 with probability 7.033563070652695e-06, 6 rounds
294 ... X ... 3342 <- 3342 <- 2831 <- 2621 with probability 7.033563070652695e-06, 6 rounds
294 ... X ... 3342 <- 3342 <- 2827 <- 2617 with probability 7.033563070652695e-06, 6 rounds
294 ... X ... 3342 <- 3342 <- 3850 <- 3625 with probability 7.033563070652695e-06, 6 rounds
294 ... X ... 3342 <- 3342 <- 3854 <- 3629 with probability 7.033563070652695e-06, 6 rounds
294 ... X ... 3342 <- 3342 <- 3339 <- 3609 with probability 7.033563070652695e-06, 6 rounds
294 ... X ... 3342 <- 3342 <- 3595 <- 3640 with probability 7.033563070652695e-06, 6 rounds
294 ... X ... 3342 <- 3342 <- 3843 <- 3633 with probability 7.033563070652695e-06, 6 rounds
294 ... X ... 3342 <- 3342 <- 783 <- 573 with probability 7.033563070652695e-06, 6 rounds
294 ... X ... 3342 <- 3342 <- 3852 <- 3117 with probability 7.033563070652695e-06, 6 rounds
294 ... X ... 3342 <- 3342 <- 3341 <- 3101 with probability 7.033563070652695e-06, 6 rounds
294 ... X ... 3342 <- 3342 <- 1295 <- 1565 with probability 7.033563070652695e-06, 6 rounds
294 ... X ... 3342 <- 3342 <- 3343 <- 3613 with probability 7.033563070652695e-06, 6 rounds
294 ... X ... 3342 <- 3342 <- 1551 <- 1596 with probability 7.033563070652695e-06, 6 rounds
294 ... X ... 3342 <- 3342 <- 3597 <- 3132 with probability 7.033563070652695e-06, 6 rounds
294 ... X ... 3342 <- 3342 <- 3087 <- 3612 with probability 7.033563070652695e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 287 <- 797 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 303 <- 543 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 335 <- 605 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 399 <- 669 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 497 <- 467 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 498 <- 963 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 500 <- 455 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 504 <- 459 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 543 <- 828 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 559 <- 574 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 591 <- 636 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 655 <- 700 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 753 <- 498 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 754 <- 994 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 756 <- 486 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 760 <- 490 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 1055 <- 1820 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 1071 <- 1566 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 1103 <- 1628 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 1167 <- 1692 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 1265 <- 1490 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 1266 <- 1986 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 1268 <- 1478 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 1272 <- 1482 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 2079 <- 2844 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 2095 <- 2590 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 2127 <- 2652 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 2191 <- 2716 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 2289 <- 2514 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 2290 <- 3010 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 2292 <- 2502 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 2296 <- 2506 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 3857 <- 3377 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 3858 <- 3873 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 3860 <- 3365 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 3864 <- 3369 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 3873 <- 3123 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 3874 <- 3619 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 3876 <- 3111 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 3880 <- 3115 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 3905 <- 3185 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 3906 <- 3681 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 3908 <- 3173 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 3912 <- 3177 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 3969 <- 3249 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 3970 <- 3745 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 3972 <- 3237 with probability 7.033702005231866e-06, 6 rounds
294 ... X ... 3855 <- 4095 <- 3976 <- 3241 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 237 <- 237 <- 63 <- 798 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 95 <- 860 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 111 <- 606 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 119 <- 854 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 123 <- 858 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 125 <- 350 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 126 <- 846 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 127 <- 862 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 159 <- 924 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 175 <- 670 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 183 <- 918 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 187 <- 922 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 189 <- 414 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 190 <- 910 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 191 <- 926 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 207 <- 732 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 215 <- 980 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 219 <- 984 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 221 <- 476 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 222 <- 972 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 223 <- 988 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 231 <- 726 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 235 <- 730 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 237 <- 222 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 238 <- 718 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 239 <- 734 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 243 <- 978 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 245 <- 470 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 246 <- 966 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 247 <- 982 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 249 <- 474 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 250 <- 970 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 251 <- 986 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 252 <- 462 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 253 <- 478 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 254 <- 974 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 237 <- 237 <- 255 <- 990 with probability 7.033563070652695e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 287 <- 797 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 303 <- 543 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 335 <- 605 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 399 <- 669 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 497 <- 467 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 498 <- 963 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 500 <- 455 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 504 <- 459 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 543 <- 828 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 559 <- 574 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 591 <- 636 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 655 <- 700 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 753 <- 498 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 754 <- 994 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 756 <- 486 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 760 <- 490 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 1055 <- 1820 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 1071 <- 1566 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 1103 <- 1628 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 1167 <- 1692 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 1265 <- 1490 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 1266 <- 1986 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 1268 <- 1478 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 1272 <- 1482 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 2079 <- 2844 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 2095 <- 2590 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 2127 <- 2652 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 2191 <- 2716 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 2289 <- 2514 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 2290 <- 3010 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 2292 <- 2502 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 2296 <- 2506 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 3857 <- 3377 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 3858 <- 3873 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 3860 <- 3365 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 3864 <- 3369 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 3873 <- 3123 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 3874 <- 3619 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 3876 <- 3111 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 3880 <- 3115 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 3905 <- 3185 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 3906 <- 3681 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 3908 <- 3173 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 3912 <- 3177 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 3969 <- 3249 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 3970 <- 3745 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 3972 <- 3237 with probability 7.033702005231866e-06, 6 rounds
297 ... X ... 255 <- 4095 <- 3976 <- 3241 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 1807 <- 1597 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 3335 <- 3605 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 3853 <- 3133 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 2830 <- 2605 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 3855 <- 3645 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 1799 <- 1589 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 3342 <- 3597 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 1806 <- 1581 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 3845 <- 3125 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 1805 <- 1085 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 2823 <- 2613 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 3846 <- 3621 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 3599 <- 3644 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 3851 <- 3641 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 3591 <- 3636 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 3847 <- 3637 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 2319 <- 2589 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 3598 <- 3628 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 2575 <- 2620 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 2829 <- 2109 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 1803 <- 1593 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 3849 <- 3129 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 2831 <- 2621 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 2827 <- 2617 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 3850 <- 3625 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 3854 <- 3629 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 3339 <- 3609 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 3595 <- 3640 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 3843 <- 3633 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 783 <- 573 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 3852 <- 3117 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 3341 <- 3101 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 1295 <- 1565 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 3343 <- 3613 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 1551 <- 1596 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 3597 <- 3132 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3342 <- 3342 <- 3087 <- 3612 with probability 7.033563070652695e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 287 <- 797 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 303 <- 543 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 335 <- 605 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 399 <- 669 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 497 <- 467 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 498 <- 963 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 500 <- 455 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 504 <- 459 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 543 <- 828 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 559 <- 574 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 591 <- 636 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 655 <- 700 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 753 <- 498 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 754 <- 994 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 756 <- 486 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 760 <- 490 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 1055 <- 1820 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 1071 <- 1566 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 1103 <- 1628 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 1167 <- 1692 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 1265 <- 1490 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 1266 <- 1986 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 1268 <- 1478 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 1272 <- 1482 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 2079 <- 2844 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 2095 <- 2590 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 2127 <- 2652 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 2191 <- 2716 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 2289 <- 2514 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 2290 <- 3010 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 2292 <- 2502 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 2296 <- 2506 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 3857 <- 3377 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 3858 <- 3873 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 3860 <- 3365 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 3864 <- 3369 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 3873 <- 3123 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 3874 <- 3619 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 3876 <- 3111 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 3880 <- 3115 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 3905 <- 3185 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 3906 <- 3681 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 3908 <- 3173 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 3912 <- 3177 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 3969 <- 3249 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 3970 <- 3745 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 3972 <- 3237 with probability 7.033702005231866e-06, 6 rounds
298 ... X ... 3855 <- 4095 <- 3976 <- 3241 with probability 7.033702005231866e-06, 6 rounds
300 ... X ... 237 <- 237 <- 63 <- 798 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 95 <- 860 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 111 <- 606 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 119 <- 854 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 123 <- 858 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 125 <- 350 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 126 <- 846 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 127 <- 862 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 159 <- 924 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 175 <- 670 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 183 <- 918 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 187 <- 922 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 189 <- 414 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 190 <- 910 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 191 <- 926 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 207 <- 732 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 215 <- 980 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 219 <- 984 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 221 <- 476 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 222 <- 972 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 223 <- 988 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 231 <- 726 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 235 <- 730 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 237 <- 222 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 238 <- 718 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 239 <- 734 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 243 <- 978 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 245 <- 470 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 246 <- 966 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 247 <- 982 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 249 <- 474 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 250 <- 970 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 251 <- 986 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 252 <- 462 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 253 <- 478 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 254 <- 974 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 237 <- 237 <- 255 <- 990 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 3342 <- 3342 <- 1807 <- 1597 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 3342 <- 3342 <- 3335 <- 3605 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 3342 <- 3342 <- 3853 <- 3133 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 3342 <- 3342 <- 2830 <- 2605 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 3342 <- 3342 <- 3855 <- 3645 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 3342 <- 3342 <- 1799 <- 1589 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 3342 <- 3342 <- 3342 <- 3597 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 3342 <- 3342 <- 1806 <- 1581 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 3342 <- 3342 <- 3845 <- 3125 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 3342 <- 3342 <- 1805 <- 1085 with probability 7.033563070652695e-06, 6 rounds
300 ... X ... 3342 <- 3342 <- 2823 <- 2613 with probability 7.033563070652695e-06, 6 rounds
